campaign,Count,Min,Max,Average,Median,Total,N,Target,Duration
masjidpelosoktimur,5204,1000.0,5000000.0,11564.59,5000.0,60182144.0,5206,100000000.0,0 (days remaining only)
maribangunmasjidjatisarigisikdrono,1675,1000.0,10000000.0,24604.18,5000.0,41212000.0,1675,500000000.0,740 (days remaining only)
masjidalakbarsorong,961,1000.0,10000000.0,38457.8,3000.0,36957947.0,961,2000000000.0,375 (days remaining only)
masjidkemasjid,7020,1000.0,500000.0,4154.69,1000.0,29165955.0,7020,250000000.0,10 hari lagi
masjidrumahtahfiz,999,1000.0,4000000.0,28944.98,5000.0,28916034.0,999,5000000000.0,3417 (days remaining only)
setarapulihkanmasjid,354,1000.0,10000000.0,68073.81,5000.0,24098127.0,354,100000000.0,10 (days remaining only)
pembangunanmasjidalbina,1590,1000.0,3135000.0,15028.54,3000.0,23895372.0,1590,2500000000000.0,0 (days remaining only)
sedekahmasjidpantaibali,1851,1000.0,2000000.0,12697.46,5000.0,23503000.0,1851,200000000.0,0 (days remaining only)
pahalajariyahwakafpembangunanmasjid,632,1000.0,4000000.0,30588.61,5000.0,19332000.0,632,100000000.0,71 (days remaining only)
pembangunanalhikmahbandarlampung,1040,1000.0,2000000.0,17016.35,5000.0,17697000.0,1040,100000000.0,0 (days remaining only)
masjidario,306,1000.0,500792.0,33378.18,20000.0,10213723.0,306,116650000.0,8 (days remaining only)
yukkinvestasiakhirat,360,1000.0,2590000.0,28103.14,5000.0,10117132.0,360,150000000.0,14 (days remaining only)
donasimasjidalfurqon1750,133,1000.0,1000000.0,66038.74,20000.0,8783152.0,133,1750000000.0,740 (days remaining only)
20251221,298,1000.0,1000000.0,28853.82,10000.0,8598439.0,298,1000000000.0,13 (days remaining only)
pembangunanaladamtasik,481,1000.0,1000000.0,15124.74,5000.0,7275000.0,481,100000000.0,0 (days remaining only)
maribantupembangunanmasjiddipedalamansumsel,125,1000.0,200166.0,55793.33,15000.0,6974166.0,125,1651080000.0,375 (days remaining only)
pembangunanmasjidmuhammadiyahalmujahidin,478,1000.0,500000.0,10163.18,1000.0,4858000.0,478,80000000.0,64 (days remaining only)
bangunmasjidpelosok25,1250,1000.0,50000.0,3191.2,2000.0,3989000.0,3974,100000000.0,0 (days remaining only)
pembangunanmasjidtapalbatas,69,1000.0,1350000.0,55237.97,10000.0,3811420.0,69,1000000000.0,100 (days remaining only)
masjidseko,70,1000.0,500000.0,38171.43,10000.0,2672000.0,94,10000000.0,6 (days remaining only)
pembangunanmasjidpemudamandiri,150,1000.0,300000.0,11446.67,5000.0,1717000.0,621,100000000.0,0 (days remaining only)
amaljariyahpembangunanmasjidalmuniri,94,1000.0,500000.0,17223.4,5000.0,1619000.0,94,1226500000.0,41 (days remaining only)
